product_id,sku,product_name,category,sub_category,brand,supplier_id,supplier_name,warehouse_id,unit_cost,unit_price,stock_quantity,reorder_level,unit_of_measure,currency,manufactured_date,expiry_date,launch_date,country_of_origin,product_status,tax_percent,discount_percent,record_created_timestamp,last_updated_timestamp,source_system
1001,SKU-1001,Endura Yoga Mat Plus,Sports,Fitness,Endura,509,Indus Wholesale,WH-DEL-01,597.30,939.27,619,73,set,INR,2025-11-08,,2026-01-28,Thailand,Active,28,10,2026-03-01 22:03:00,2026-03-29 15:45:00,SUPPLIER_PORTAL
1002,SKU-1002,NutriChoice Tea Plus,Grocery,Staples,NutriChoice,507,GlobalMart Supply,WH-CHE-01,957.28,1108.74,121,67,kg,INR,2026-02-09,2027-04-25,2026-05-21,India,Active,0,0,2026-05-25 06:15:00,2026-06-14 04:53:00,ERP_PROD
1003,SKU-1003,DailyHarvest Biscuits Lite,Grocery,Snacks,DailyHarvest,510,Jupiter Trade Links,WH-BLR-01,759.53,1095.68,270,27,litre,INR,2026-04-15,2027-07-20,2026-04-26,Thailand,Discontinued,28,0,2026-05-01 11:22:00,2026-07-06 15:14:00,WMS_SYNC
1004,SKU-1004,PlayMax Dumbbell Plus,Sports,Fitness,PlayMax,506,Fusion Commerce,WH-BLR-01,7994.90,9679.63,33,90,piece,INR,2024-10-23,,2025-01-01,Vietnam,Active,12,10,2025-02-07 19:30:00,2025-05-27 23:17:00,SUPPLIER_PORTAL
1005,SKU-1005,ActiveZone Yoga Mat Max,Sports,Team Sports,ActiveZone,511,Keystone Suppliers,WH-DEL-01,10393.69,11931.85,132,22,pair,INR,2025-03-02,,2025-06-01,South Korea,Active,18,5,2025-06-02 14:05:00,2025-08-07 10:12:00,SUPPLIER_PORTAL
1006,SKU-1006,ByteCraft Webcam Eco,Electronics,Home Electronics,ByteCraft,514,Nexus Traders,WH-DEL-01,11133.32,17747.60,443,45,piece,INR,2026-05-30,,2026-07-18,Vietnam,Discontinued,0,20,2026-07-19 09:17:00,2026-07-22 16:20:00,ERP_PROD
1007,SKU-1007,Sportiva Dumbbell Standard,Sports,Outdoor,Sportiva,507,GlobalMart Supply,WH-CHE-01,2692.08,4243.66,413,51,pair,INR,2025-03-17,,2025-04-30,Indonesia,Active,28,15,2025-05-28 04:32:00,2026-07-04 14:07:00,WMS_SYNC
1008,SKU-1008,VitaCore Bandage Kit Eco,Health,Daily Care,VitaCore,511,Keystone Suppliers,WH-HYD-01,1111.39,1413.75,356,40,box,INR,2025-05-26,2026-12-13,2025-08-18,Malaysia,Discontinued,18,0,2025-09-04 21:32:00,2026-08-16 17:10:00,SUPPLIER_PORTAL
1009,SKU-1009,ActiveZone Skipping Rope Classic,Sports,Accessories,ActiveZone,505,Evergreen Supplies,WH-DEL-01,10332.63,14037.59,182,72,piece,INR,2026-04-06,,2026-05-31,Thailand,Seasonal,0,5,2026-06-15 23:50:00,2026-07-11 05:25:00,WMS_SYNC
1010,SKU-1010,ModeLine Sandals Eco,Apparel,Kids,ModeLine,502,BlueRiver Distributors,WH-MUM-01,308.79,406.81,603,45,pair,INR,2025-08-22,,2025-10-08,India,Active,0,5,2025-10-23 10:56:00,2026-04-28 18:07:00,WMS_SYNC
1011,SKU-1011,FreshCart Tea Eco,Grocery,Staples,FreshCart,506,Fusion Commerce,WH-HYD-01,668.63,876.58,226,43,kg,INR,2025-02-28,2026-05-30,2025-06-21,Malaysia,Seasonal,18,5,2025-08-02 22:55:00,2026-03-21 06:47:00,SUPPLIER_PORTAL
1012,SKU-1012,UrbanCare Serum Pro,Personal Care,Grooming,UrbanCare,510,Jupiter Trade Links,WH-HYD-01,511.42,727.47,579,32,piece,INR,2024-10-25,2025-07-24,2024-12-15,South Korea,Active,0,5,2025-01-02 06:28:00,2026-07-09 02:20:00,WMS_SYNC
1013,SKU-1013,AeroCool Air Cooler Pro,Home Appliances,Cleaning Appliances,AeroCool,501,Apex Supply Co,WH-HYD-01,34991.01,43093.55,350,78,piece,INR,2024-09-17,,2024-12-12,Indonesia,Active,12,0,2025-01-08 04:06:00,2025-02-06 03:29:00,WMS_SYNC
1014,SKU-1014,NovaTech Charger Max,Electronics,Computer Accessories,NovaTech,505,Evergreen Supplies,WH-CHE-01,13296.38,17613.40,440,51,piece,INR,2026-01-22,,2026-02-20,Vietnam,Active,12,0,2026-03-19 19:16:00,2026-06-14 03:38:00,ERP_PROD
1015,SKU-1015,UrbanCare Toothpaste Premium,Personal Care,Hygiene,UrbanCare,514,Nexus Traders,WH-HYD-01,1401.65,1822.99,311,36,bottle,INR,2025-05-04,2026-07-01,2025-08-06,China,Active,18,10,2025-09-01 04:30:00,2026-08-05 16:27:00,SUPPLIER_PORTAL
1016,SKU-1016,WellLife Herbal Drink Pro,Health,First Aid,WellLife,502,BlueRiver Distributors,WH-HYD-01,557.08,832.68,293,38,bottle,INR,2026-04-17,2027-07-14,2026-07-11,China,Seasonal,28,15,2026-08-02 00:07:00,2026-09-04 03:44:00,SUPPLIER_PORTAL
1017,SKU-1017,PlayMax Dumbbell Pro,Sports,Outdoor,PlayMax,511,Keystone Suppliers,WH-DEL-01,12395.03,15585.48,363,74,set,INR,2025-03-12,,2025-04-01,Malaysia,Active,18,0,2025-04-19 21:42:00,2025-07-03 19:53:00,SUPPLIER_PORTAL
1018,SKU-1018,WellLife First Aid Kit Standard,Health,Daily Care,WellLife,502,BlueRiver Distributors,WH-HYD-01,372.35,532.89,492,50,bottle,INR,2025-04-10,2026-07-08,2025-08-06,Japan,Active,12,0,2025-09-14 02:18:00,2026-01-08 12:14:00,SUPPLIER_PORTAL
1019,SKU-1019,FarmBasket Coffee Eco,Grocery,Staples,FarmBasket,515,Orbit Supply Network,WH-MUM-01,689.39,873.37,449,57,kg,INR,2026-01-22,2027-03-10,2026-05-08,South Korea,Active,18,5,2026-05-24 11:31:00,2026-08-08 01:19:00,ERP_PROD
1020,SKU-1020,Sportiva Football Classic,Sports,Outdoor,Sportiva,510,Jupiter Trade Links,WH-DEL-01,11383.68,15591.84,263,33,set,INR,2025-02-14,,2025-06-14,Japan,Discontinued,12,0,2025-06-26 15:32:00,2026-02-18 21:24:00,ERP_PROD
1021,SKU-1021,Stride Hoodie Plus,Apparel,Men,Stride,512,Lotus Distribution,WH-HYD-01,2535.47,3801.88,518,69,piece,INR,2025-12-20,,2026-04-02,Malaysia,Active,12,0,2026-04-29 04:01:00,2026-09-03 03:04:00,ERP_PROD
