order_item_id,order_id,order_number,customer_id,product_id,sku,product_name,category,brand,quantity,unit_cost,unit_price,gross_line_amount,discount_percent,line_discount_amount,tax_percent,line_tax_amount,net_line_amount,line_status,fulfillment_center,warehouse_id,return_flag,return_reason,refund_amount,currency,order_date,record_created_timestamp,last_updated_timestamp
OI50049301,500493,ORD500493,101831,1069,SKU-1069,PureLiving Mixer Classic,Home Appliances,PureLiving,2,33987.79,38694.42,77388.84,5.00,3869.44,5.00,3675.97,77195.37,Delivered,FC-CHE-01,WH-BLR-01,N,,0.00,INR,2025-01-01,2025-01-01 13:13:16,2025-01-05 18:01:16
OI50049302,500493,ORD500493,101831,1035,SKU-1035,PureLiving Iron Lite,Home Appliances,PureLiving,4,13541.23,16654.82,66619.28,5.00,3330.96,12.00,7594.60,70882.92,Delivered,FC-CHE-01,WH-MUM-01,N,,0.00,INR,2025-01-01,2025-01-01 13:13:16,2025-01-05 18:01:16
OI50049303,500493,ORD500493,101831,1074,SKU-1074,StudyPro Marker Eco,Stationery,StudyPro,3,176.78,226.79,680.37,5.00,34.02,28.00,180.98,827.33,Delivered,FC-CHE-01,WH-MUM-01,N,,0.00,INR,2025-01-01,2025-01-01 13:13:16,2025-01-05 18:01:16
OI50049304,500493,ORD500493,101831,1173,SKU-1173,PlayMax Gym Gloves Plus,Sports,PlayMax,3,1482.35,1689.58,5068.74,5.00,253.44,18.00,866.75,5682.05,Delivered,FC-CHE-01,WH-MUM-01,N,,0.00,INR,2025-01-01,2025-01-01 13:13:16,2025-01-05 18:01:16
OI50074901,500749,ORD500749,101479,1025,SKU-1025,PureLeaf Toothpaste Lite,Personal Care,PureLeaf,1,1421.97,2107.42,2107.42,10.00,210.74,28.00,531.07,2427.75,Delivered,FC-CHE-01,WH-DEL-01,N,,0.00,INR,2025-01-01,2025-01-01 14:30:50,2025-01-06 17:07:50
OI50074902,500749,ORD500749,101479,1174,SKU-1174,PureLiving Air Cooler Pro,Home Appliances,PureLiving,4,13637.52,20403.66,81614.64,10.00,8161.46,5.00,3672.66,77125.84,Delivered,FC-CHE-01,WH-CHE-01,N,,0.00,INR,2025-01-01,2025-01-01 14:30:50,2025-01-06 17:07:50
OI50074903,500749,ORD500749,101479,1041,SKU-1041,CarePlus Deodorant Plus,Personal Care,CarePlus,2,1411.56,1985.17,3970.34,10.00,397.03,0.00,0.00,3573.31,Delivered,FC-CHE-01,WH-HYD-01,N,,0.00,INR,2025-01-01,2025-01-01 14:30:50,2025-01-06 17:07:50
OI50074904,500749,ORD500749,101479,1021,SKU-1021,Stride Hoodie Plus,Apparel,Stride,4,2535.47,3801.88,15207.52,10.00,1520.76,12.00,1642.41,15329.17,Delivered,FC-CHE-01,WH-HYD-01,N,,0.00,INR,2025-01-01,2025-01-01 14:30:50,2025-01-06 17:07:50
OI50135601,501356,ORD501356,101456,1034,SKU-1034,ActiveZone Water Bottle Premium,Sports,ActiveZone,1,10496.97,16563.89,16563.89,5.00,828.19,5.00,786.78,16522.48,Delivered,FC-DEL-01,WH-DEL-01,N,,0.00,INR,2025-01-01,2025-01-01 19:00:26,2025-01-02 19:34:26
OI50135602,501356,ORD501356,101456,1036,SKU-1036,EchoWave Speaker Classic,Electronics,EchoWave,4,10356.17,13133.89,52535.56,5.00,2626.78,28.00,13974.46,63883.24,Delivered,FC-DEL-01,WH-DEL-01,N,,0.00,INR,2025-01-01,2025-01-01 19:00:26,2025-01-02 19:34:26
