order_item_id,order_id,order_number,customer_id,product_id,sku,product_name,category,brand,quantity,unit_cost,unit_price,gross_line_amount,discount_percent,line_discount_amount,tax_percent,line_tax_amount,net_line_amount,line_status,fulfillment_center,warehouse_id,return_flag,return_reason,refund_amount,currency,order_date,record_created_timestamp,last_updated_timestamp
OI50241001,502410,ORD502410,100667,1141,SKU-1141,FreshCart Tea Classic,Grocery,FreshCart,4,915.94,1094.88,4379.52,0.00,0.00,28.00,1226.27,5605.79,Processing,FC-HYD-01,WH-MUM-01,N,,0.00,INR,2026-09-15,2026-09-15 07:37:09,2026-09-15 16:05:09
OI50241002,502410,ORD502410,100667,1105,SKU-1105,HomePro Toaster Lite,Home Appliances,HomePro,4,12743.27,20526.10,82104.40,0.00,0.00,18.00,14778.79,96883.19,Processing,FC-HYD-01,WH-MUM-01,N,,0.00,INR,2026-09-15,2026-09-15 07:37:09,2026-09-15 16:05:09
OI50241003,502410,ORD502410,100667,1115,SKU-1115,DailyEase Fan Standard,Home Appliances,DailyEase,1,10507.86,13496.16,13496.16,0.00,0.00,18.00,2429.31,15925.47,Processing,FC-HYD-01,WH-DEL-01,N,,0.00,INR,2026-09-15,2026-09-15 07:37:09,2026-09-15 16:05:09
OI50172301,501723,ORD501723,101911,1070,SKU-1070,EchoWave Headphones Classic,Electronics,EchoWave,4,418.43,602.85,2411.40,0.00,0.00,0.00,0.00,2411.40,Delivered,FC-MUM-01,WH-MUM-01,N,,0.00,INR,2026-04-11,2026-04-11 09:12:36,2026-09-15 21:32:16
OI50172302,501723,ORD501723,101911,1089,SKU-1089,GlowNest Serum Lite,Personal Care,GlowNest,3,1283.32,2060.36,6181.08,0.00,0.00,5.00,309.05,6490.13,Delivered,FC-MUM-01,WH-DEL-01,N,,0.00,INR,2026-04-11,2026-04-11 09:12:36,2026-09-15 21:32:16
OI50172303,501723,ORD501723,101911,1160,SKU-1160,UrbanCare Shampoo Plus,Personal Care,UrbanCare,4,1469.23,2061.29,8245.16,0.00,0.00,28.00,2308.65,10553.81,Delivered,FC-MUM-01,WH-HYD-01,N,,0.00,INR,2026-04-11,2026-04-11 09:12:36,2026-09-15 21:32:16
OI50241701,502417,ORD502417,100324,1134,SKU-1134,HealthFirst First Aid Kit Lite,Health,HealthFirst,2,1424.46,1681.04,3362.08,0.00,0.00,12.00,403.45,3765.53,Shipped,FC-BLR-01,WH-CHE-01,N,,0.00,INR,2026-09-15,2026-09-15 15:39:18,2026-09-15 16:15:18
OI50241201,502412,ORD502412,101056,1025,SKU-1025,PureLeaf Toothpaste Lite,Personal Care,PureLeaf,2,1421.97,2107.42,4214.84,10.00,421.48,28.00,1062.14,4855.50,Processing,FC-DEL-01,WH-DEL-01,N,,0.00,INR,2026-09-15,2026-09-15 14:43:35,2026-09-15 18:51:35
OI50240101,502401,ORD502401,102004,1110,SKU-1110,HealthFirst Vitamin Tablets Plus,Health,HealthFirst,4,1126.60,1761.96,7047.84,0.00,0.00,0.00,0.00,7047.84,Pending,FC-HYD-01,WH-HYD-01,N,,0.00,INR,2026-09-15,2026-09-15 05:45:21,2026-09-15 05:45:21
OI50240102,502401,ORD502401,102004,1048,SKU-1048,SwiftHome Toaster Premium,Home Appliances,SwiftHome,4,28010.99,35166.57,140666.28,0.00,0.00,12.00,16879.95,157546.23,Pending,FC-HYD-01,WH-MUM-01,N,,0.00,INR,2026-09-15,2026-09-15 05:45:21,2026-09-15 05:45:21
OI50240103,502401,ORD502401,102004,1062,SKU-1062,WellLife Hand Sanitizer Classic,Health,WellLife,1,1314.57,1921.78,1921.78,0.00,0.00,0.00,0.00,1921.78,Pending,FC-HYD-01,WH-BLR-01,N,,0.00,INR,2026-09-15,2026-09-15 05:45:21,2026-09-15 05:45:21
OI50173801,501738,ORD501738,100644,1004,SKU-1004,PlayMax Dumbbell Plus,Sports,PlayMax,4,7994.90,9679.63,38718.52,0.00,0.00,12.00,4646.22,43364.74,Returned,FC-BLR-01,WH-BLR-01,Y,Damaged Item,43364.74,INR,2025-08-08,2025-08-08 01:49:58,2026-09-15 14:50:40
OI50173802,501738,ORD501738,100644,1154,SKU-1154,FitCore Water Bottle Plus,Sports,FitCore,2,11314.00,12921.98,25843.96,0.00,0.00,12.00,3101.28,28945.24,Returned,FC-BLR-01,WH-CHE-01,Y,Quality Issue,28945.24,INR,2025-08-08,2025-08-08 01:49:58,2026-09-15 14:50:40
OI50173803,501738,ORD501738,100644,1003,SKU-1003,DailyHarvest Biscuits Lite,Grocery,DailyHarvest,4,759.53,1095.68,4382.72,0.00,0.00,28.00,1227.16,5609.88,Returned,FC-BLR-01,WH-BLR-01,Y,Product Not as Described,5609.88,INR,2025-08-08,2025-08-08 01:49:58,2026-09-15 14:50:40
OI50173804,501738,ORD501738,100644,1023,SKU-1023,CarePlus Lotion Lite,Personal Care,CarePlus,2,558.70,773.03,1546.06,0.00,0.00,0.00,0.00,1546.06,Returned,FC-BLR-01,WH-HYD-01,Y,Product Not as Described,1546.06,INR,2025-08-08,2025-08-08 01:49:58,2026-09-15 14:50:40
OI50241901,502419,ORD502419,100283,1104,SKU-1104,PureLeaf Face Wash Premium,Personal Care,PureLeaf,1,998.80,1303.79,1303.79,0.00,0.00,12.00,156.45,1460.24,Processing,FC-BLR-01,WH-CHE-01,N,,0.00,INR,2026-09-15,2026-09-15 17:04:00,2026-09-15 23:04:59
OI50241902,502419,ORD502419,100283,1015,SKU-1015,UrbanCare Toothpaste Premium,Personal Care,UrbanCare,4,1401.65,1822.99,7291.96,0.00,0.00,18.00,1312.55,8604.51,Processing,FC-BLR-01,WH-HYD-01,N,,0.00,INR,2026-09-15,2026-09-15 17:04:00,2026-09-15 23:04:59
OI50241903,502419,ORD502419,100283,1174,SKU-1174,PureLiving Air Cooler Pro,Home Appliances,PureLiving,1,13637.52,20403.66,20403.66,0.00,0.00,5.00,1020.18,21423.84,Processing,FC-BLR-01,WH-CHE-01,N,,0.00,INR,2026-09-15,2026-09-15 17:04:00,2026-09-15 23:04:59
OI50241904,502419,ORD502419,100283,1124,SKU-1124,PlayMax Cricket Bat Lite,Sports,PlayMax,2,10241.76,15658.53,31317.06,0.00,0.00,18.00,5637.07,36954.13,Processing,FC-BLR-01,WH-BLR-01,N,,0.00,INR,2026-09-15,2026-09-15 17:04:00,2026-09-15 23:04:59
OI50241905,502419,ORD502419,100283,1035,SKU-1035,PureLiving Iron Lite,Home Appliances,PureLiving,2,13541.23,16654.82,33309.64,0.00,0.00,12.00,3997.17,37306.81,Processing,FC-BLR-01,WH-MUM-01,N,,0.00,INR,2026-09-15,2026-09-15 17:04:00,2026-09-15 23:04:59
OI50240801,502408,ORD502408,100621,1023,SKU-1023,CarePlus Lotion Lite,Personal Care,CarePlus,2,558.70,773.03,1546.06,20.00,309.21,0.00,0.00,1236.85,Processing,FC-DEL-01,WH-HYD-01,N,,0.00,INR,2026-09-15,2026-09-15 15:04:26,2026-09-15 17:47:26
OI50240802,502408,ORD502408,100621,1032,SKU-1032,ColorCraft Notebook Classic,Stationery,ColorCraft,4,554.40,828.22,3312.88,20.00,662.58,0.00,0.00,2650.30,Processing,FC-DEL-01,WH-MUM-01,N,,0.00,INR,2026-09-15,2026-09-15 15:04:26,2026-09-15 17:47:26
OI50240803,502408,ORD502408,100621,1160,SKU-1160,UrbanCare Shampoo Plus,Personal Care,UrbanCare,1,1469.23,2061.29,2061.29,20.00,412.26,28.00,461.73,2110.76,Processing,FC-DEL-01,WH-HYD-01,N,,0.00,INR,2026-09-15,2026-09-15 15:04:26,2026-09-15 17:47:26
OI50241501,502415,ORD502415,100094,1078,SKU-1078,PlayMax Badminton Racket Plus,Sports,PlayMax,4,11385.43,13310.99,53243.96,0.00,0.00,18.00,9583.91,62827.87,Shipped,FC-MUM-01,WH-DEL-01,N,,0.00,INR,2026-09-15,2026-09-15 12:09:46,2026-09-15 14:23:46
OI50241502,502415,ORD502415,100094,1134,SKU-1134,HealthFirst First Aid Kit Lite,Health,HealthFirst,4,1424.46,1681.04,6724.16,0.00,0.00,12.00,806.90,7531.06,Shipped,FC-MUM-01,WH-CHE-01,N,,0.00,INR,2026-09-15,2026-09-15 12:09:46,2026-09-15 14:23:46
OI50241503,502415,ORD502415,100094,1039,SKU-1039,ActiveZone Water Bottle Classic,Sports,ActiveZone,2,11248.62,14942.64,29885.28,0.00,0.00,28.00,8367.88,38253.16,Shipped,FC-MUM-01,WH-MUM-01,N,,0.00,INR,2026-09-15,2026-09-15 12:09:46,2026-09-15 14:23:46
OI50241504,502415,ORD502415,100094,1091,SKU-1091,GoodGrain Juice Premium,Grocery,GoodGrain,3,609.71,828.05,2484.15,0.00,0.00,5.00,124.21,2608.36,Shipped,FC-MUM-01,WH-DEL-01,N,,0.00,INR,2026-09-15,2026-09-15 12:09:46,2026-09-15 14:23:46
