product_id,sku,product_name,category,sub_category,brand,supplier_id,supplier_name,warehouse_id,unit_cost,unit_price,stock_quantity,reorder_level,unit_of_measure,currency,manufactured_date,expiry_date,launch_date,country_of_origin,product_status,tax_percent,discount_percent,record_created_timestamp,last_updated_timestamp,source_system
1121,SKU-1121,WellLife First Aid Kit Plus,Health,Daily Care,WellLife,515,Orbit Supply Network,WH-BLR-01,1484.85,2264.41,240,88,pack,INR,2026-03-12,2028-02-25,2026-06-13,Vietnam,Active,18,10,2026-06-20 03:29:00,2026-09-15 11:37:28,SUPPLIER_PORTAL
1183,SKU-1183,DailyHarvest Rice Max,Grocery,Breakfast,DailyHarvest,510,Jupiter Trade Links,WH-DEL-01,649.63,884.96,3,29,kg,INR,2026-08-07,2028-07-20,2026-08-18,Indonesia,Active,18,5,2026-09-15 06:25:55,2026-09-15 08:40:55,ERP_PROD
1181,SKU-1181,UrbanCare Conditioner Premium,Personal Care,Skin Care,UrbanCare,514,Nexus Traders,WH-MUM-01,332.69,458.89,482,62,pack,INR,2026-07-17,2027-11-08,2026-08-09,South Korea,Active,0,10,2026-09-15 11:42:57,2026-09-15 12:42:57,SUPPLIER_PORTAL
1109,SKU-1109,PureLiving Mixer Standard,Home Appliances,Personal Care,PureLiving,514,Nexus Traders,WH-BLR-01,5209.36,7255.07,598,29,piece,INR,2025-05-31,,2025-08-21,Japan,Seasonal,12,0,2025-08-26 04:30:00,2026-09-15 08:59:05,SUPPLIER_PORTAL
1182,SKU-1182,AeroCool Iron Max,Home Appliances,Kitchen Appliances,AeroCool,508,Horizon Distributors,WH-HYD-01,27099.23,34545.62,154,59,piece,INR,2026-07-13,,2026-08-25,South Korea,Discontinued,28,10,2026-09-15 08:50:07,2026-09-15 11:41:07,SUPPLIER_PORTAL
1102,SKU-1102,StudyPro Folder Standard,Stationery,Art Supplies,StudyPro,512,Lotus Distribution,WH-DEL-01,725.82,981.79,584,69,box,INR,2026-06-05,,2026-06-29,South Korea,Active,12,0,2026-07-01 23:21:00,2026-09-15 15:31:29,SUPPLIER_PORTAL
1184,SKU-1184,FarmBasket Cereal Standard,Grocery,Snacks,FarmBasket,510,Jupiter Trade Links,WH-MUM-01,758.06,1067.84,606,30,litre,INR,2026-05-06,2026-11-29,2026-09-02,Thailand,Active,5,0,2026-09-15 09:22:58,2026-09-15 09:58:58,SUPPLIER_PORTAL
1039,SKU-1039,ActiveZone Water Bottle Classic,Sports,Fitness,ActiveZone,505,Evergreen Supplies,WH-MUM-01,11248.62,14942.64,446,35,pair,INR,2024-10-24,,2025-02-06,China,Discontinued,28,15,2025-02-28 04:01:00,2026-09-15 13:08:59,WMS_SYNC
1017,SKU-1017,PlayMax Dumbbell Pro,Sports,Outdoor,PlayMax,511,Keystone Suppliers,WH-DEL-01,12395.03,15585.48,9,74,set,INR,2025-03-12,,2025-04-01,Malaysia,Discontinued,18,0,2025-04-19 21:42:00,2026-09-15 09:18:44,WMS_SYNC
1041,SKU-1041,CarePlus Deodorant Plus,Personal Care,Skin Care,CarePlus,505,Evergreen Supplies,WH-HYD-01,1515.10,2142.42,399,29,bottle,INR,2025-06-16,2026-01-15,2025-08-31,China,Active,0,10,2025-10-14 11:53:00,2026-09-15 07:55:19,WMS_SYNC
1144,SKU-1144,FitCore Yoga Mat Plus,Sports,Outdoor,FitCore,514,Nexus Traders,WH-DEL-01,10485.49,15288.66,144,75,set,INR,2025-03-19,,2025-05-12,Japan,Active,5,0,2025-06-06 12:54:00,2026-09-15 09:37:22,ERP_PROD
1086,SKU-1086,PaperLine Pencil Set Plus,Stationery,Writing,PaperLine,510,Jupiter Trade Links,WH-DEL-01,1374.88,1702.72,46,32,piece,INR,2025-02-23,,2025-06-02,India,Seasonal,28,25,2025-06-22 20:32:00,2026-09-15 12:14:37,WMS_SYNC
