order_id,order_number,customer_id,order_date,order_timestamp,sales_channel,order_status,payment_method,payment_status,currency,billing_city,billing_state,shipping_city,shipping_state,shipping_postal_code,fulfillment_center,shipping_method,estimated_delivery_date,actual_delivery_date,item_count,total_quantity,subtotal_amount,discount_amount,tax_amount,shipping_charge,total_order_amount,coupon_code,is_gift,cancellation_reason,last_updated_timestamp
500493,ORD500493,101831,2025-01-01,2025-01-01 13:13:16,Mobile App,Delivered,Debit Card,Paid,INR,Chennai,Tamil Nadu,Chennai,Tamil Nadu,600042,FC-CHE-01,Express,2025-01-04,2025-01-05,4,12,149757.23,7487.86,12318.30,0.00,154587.67,SAVE5,N,,2025-01-05 18:01:16
500749,ORD500749,101479,2025-01-01,2025-01-01 14:30:50,Mobile App,Delivered,Credit Card,Pending,INR,Warangal,Telangana,Pune,Maharashtra,411014,FC-CHE-01,Express,2025-01-04,2025-01-06,4,11,102899.92,10289.99,5846.14,0.00,98456.07,WELCOME10,N,,2025-01-06 17:07:50
501356,ORD501356,101456,2025-01-01,2025-01-01 19:00:26,Marketplace,Delivered,Debit Card,Paid,INR,Warangal,Telangana,Warangal,Telangana,506002,FC-DEL-01,Same Day,2025-01-01,2025-01-01,4,9,71405.34,3570.27,14812.80,0.00,82647.87,SAVE5,N,,2025-01-02 19:34:26
500172,ORD500172,101454,2025-01-02,2025-01-02 00:03:09,Store Assisted,Delivered,UPI,Paid,INR,Hyderabad,Telangana,Hyderabad,Telangana,500081,FC-DEL-01,Standard,2025-01-07,2025-01-07,5,12,84191.25,8419.12,6961.86,0.00,82733.99,LOYALTY10,Y,,2025-01-07 04:01:09
502242,ORD502242,101194,2025-01-02,2025-01-02 02:18:45,Mobile App,Delivered,UPI,Paid,INR,Vijayawada,Andhra Pradesh,Vijayawada,Andhra Pradesh,520010,FC-HYD-01,Standard,2025-01-07,2025-01-07,2,4,19504.28,1950.43,745.37,0.00,18299.22,WELCOME10,N,,2025-01-03 05:58:45
501405,ORD501405,100402,2025-01-02,2025-01-02 12:17:10,Mobile App,Delivered,UPI,Pending,INR,Bengaluru,Karnataka,Bengaluru,Karnataka,560037,FC-DEL-01,Standard,2025-01-07,2025-01-07,5,9,47035.17,0.00,4204.99,0.00,51240.16,,N,,2025-01-02 16:18:10
500671,ORD500671,101668,2025-01-03,2025-01-03 01:07:31,Marketplace,Delivered,Net Banking,Paid,INR,Mumbai,Maharashtra,Secunderabad,Telangana,500003,FC-CHE-01,Standard,2025-01-08,2025-01-08,2,6,80923.71,16184.74,602.08,0.00,65341.05,APP20,N,,2025-01-04 05:24:31
500887,ORD500887,101811,2025-01-03,2025-01-03 21:35:06,Website,Returned,Debit Card,Partially Refunded,INR,Secunderabad,Telangana,Delhi,Delhi,110017,FC-CHE-01,Express,2025-01-06,2025-01-07,5,12,53037.08,0.00,12484.53,0.00,65521.61,,N,,2025-01-08 21:47:06
502018,ORD502018,100529,2025-01-03,2025-01-03 22:59:44,Marketplace,Delivered,Credit Card,Pending,INR,Hyderabad,Telangana,Hyderabad,Telangana,500081,FC-HYD-01,Same Day,2025-01-03,2025-01-04,5,13,201137.14,40227.43,27770.84,0.00,188680.55,APP20,N,,2025-01-10 02:35:44
501539,ORD501539,100520,2025-01-04,2025-01-04 00:47:15,Website,Delivered,Credit Card,Paid,INR,Hyderabad,Telangana,Hyderabad,Telangana,500081,FC-BLR-01,Express,2025-01-07,2025-01-07,4,9,15102.05,1510.20,2197.35,0.00,15789.20,LOYALTY10,N,,2025-01-07 05:01:15
502306,ORD502306,101696,2025-01-04,2025-01-04 17:45:14,Mobile App,Delivered,Cash on Delivery,Paid,INR,Warangal,Telangana,Warangal,Telangana,506002,FC-HYD-01,Express,2025-01-07,2025-01-07,5,16,210704.10,10535.20,19189.31,0.00,219358.21,SAVE5,Y,,2025-01-11 00:51:14
502134,ORD502134,101379,2025-01-05,2025-01-05 05:23:06,Marketplace,Cancelled,Debit Card,Refunded,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-DEL-01,Standard,2025-01-10,,5,15,72263.19,10839.48,9375.54,0.00,70799.25,FESTIVE15,N,Address Issue,2025-01-10 10:13:06
501420,ORD501420,102157,2025-01-05,2025-01-05 09:43:15,Mobile App,Delivered,Net Banking,Paid,INR,Bengaluru,Karnataka,Bengaluru,Karnataka,560037,FC-DEL-01,Standard,2025-01-10,2025-01-11,4,11,12844.55,642.23,1487.24,0.00,13689.56,SAVE5,Y,,2025-01-09 10:59:15
502245,ORD502245,100902,2025-01-05,2025-01-05 12:53:23,Mobile App,Returned,Net Banking,Refunded,INR,Hyderabad,Telangana,Vijayawada,Andhra Pradesh,520010,FC-DEL-01,Standard,2025-01-10,2025-01-11,5,12,34200.41,3420.04,3726.92,0.00,34507.29,WELCOME10,N,,2025-01-10 21:47:23
500826,ORD500826,100150,2025-01-05,2025-01-05 17:40:32,Mobile App,Delivered,Credit Card,Paid,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-DEL-01,Standard,2025-01-10,2025-01-10,5,11,103131.54,0.00,17333.49,0.00,120465.03,,N,,2025-01-10 17:51:32
