order_id,order_number,customer_id,order_date,order_timestamp,sales_channel,order_status,payment_method,payment_status,currency,billing_city,billing_state,shipping_city,shipping_state,shipping_postal_code,fulfillment_center,shipping_method,estimated_delivery_date,actual_delivery_date,item_count,total_quantity,subtotal_amount,discount_amount,tax_amount,shipping_charge,total_order_amount,coupon_code,is_gift,cancellation_reason,last_updated_timestamp
501376,ORD501376,100551,2025-03-06,2025-03-06 20:23:08,Store Assisted,Returned,UPI,Partially Refunded,INR,Chennai,Tamil Nadu,Chennai,Tamil Nadu,600042,FC-MUM-01,Standard,2025-03-11,2025-03-11,5,15,108790.39,21758.08,14067.29,0.00,101099.60,APP20,N,,2026-09-20 17:12:49
502527,ORD502527,100609,2026-09-20,2026-09-20 01:22:43,Website,Processing,Cash on Delivery,Pending,INR,Chennai,Tamil Nadu,Chennai,Tamil Nadu,600042,FC-MUM-01,Standard,2026-09-25,,2,4,2540.27,0.00,172.91,0.00,2713.18,,Y,,2026-09-20 08:47:43
500613,ORD500613,101980,2025-03-31,2025-03-31 01:05:30,Marketplace,Delivered,Debit Card,Paid,INR,Vijayawada,Andhra Pradesh,Vijayawada,Andhra Pradesh,520010,FC-MUM-01,Express,2025-04-03,2025-04-03,1,4,11617.72,0.00,1394.13,0.00,13011.85,,N,,2026-09-20 14:00:00
502533,ORD502533,102148,2026-09-20,2026-09-20 11:31:42,Website,Processing,Net Banking,Paid,INR,Delhi,Delhi,Delhi,Delhi,110017,FC-CHE-01,Standard,2026-09-25,,5,15,133211.12,19981.67,27453.86,0.00,140683.31,FESTIVE15,N,,2026-09-20 17:43:42
502524,ORD502524,101655,2026-09-20,2026-09-20 14:31:11,Store Assisted,Pending,Cash on Delivery,Pending,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-CHE-01,Standard,2026-09-25,,3,6,144716.17,0.00,17365.94,0.00,162082.11,,N,,2026-09-20 21:38:11
500372,ORD500372,100747,2025-12-29,2025-12-29 07:29:22,Website,Cancelled,Net Banking,Failed,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-CHE-01,Standard,2026-01-03,,3,8,23841.98,2384.20,4598.91,0.00,26056.69,LOYALTY10,N,Inventory Unavailable,2026-09-20 12:29:02
502517,ORD502517,102032,2026-09-20,2026-09-20 08:19:13,Store Assisted,Pending,Net Banking,Pending,INR,Vijayawada,Andhra Pradesh,Vijayawada,Andhra Pradesh,520010,FC-CHE-01,Standard,2026-09-25,,1,2,28075.18,0.00,0.00,0.00,28075.18,,N,,2026-09-20 08:59:13
502518,ORD502518,100712,2026-09-20,2026-09-20 23:50:25,Website,Processing,UPI,Paid,INR,Chennai,Tamil Nadu,Chennai,Tamil Nadu,600042,FC-HYD-01,Standard,2026-09-25,,4,10,38847.37,5827.11,3453.55,0.00,36473.81,FESTIVE15,N,,2026-09-20 23:37:59
502521,ORD502521,101687,2026-09-20,2026-09-20 01:43:42,Marketplace,Shipped,Net Banking,Paid,INR,Vijayawada,Andhra Pradesh,Bengaluru,Karnataka,560037,FC-CHE-01,Express,2026-09-23,,3,7,29561.12,1478.06,3239.54,0.00,31322.60,SAVE5,Y,,2026-09-20 01:46:42
502536,ORD502536,101660,2026-09-20,2026-09-20 14:52:29,Mobile App,Shipped,Cash on Delivery,Pending,INR,Visakhapatnam,Andhra Pradesh,Mumbai,Maharashtra,400076,FC-MUM-01,Standard,2026-09-25,,4,10,48667.91,4866.79,2544.13,0.00,46345.25,LOYALTY10,N,,2026-09-20 23:49:29
